Question,Expected Output,Answer (Query)
1. E-commerce Sales: Join Orders and Customers tables to get a list of orders with customer names. What happens if a customer ID in Orders doesn't exist in Customers?,"order_id = 1001, name = Alice Johnson"," SELECT Orders.order_id, Customers.name FROM Orders INNER JOIN Customers ON Orders.customer_id = Customers.id;"
2. Healthcare Records: Retrieve patient information from Patients and their respective doctor's name from Doctors table based on doctor_id. What if some patients don't have a doctor assigned (doctor_id is NULL)?,"patient_name = Alice Smith, doctor_name = Dr. Brown"," SELECT Patients.patient_name, Doctors.doctor_name FROM Patients INNER JOIN Doctors ON Patients.doctor_id = Doctors.id;"
3. Financial Transactions: List all transactions with their associated account holder's name from Transactions and AccountHolders. What if an account holder is deleted but their transactions still exist?,"transaction_id = 2001, name = Bob Williams, amount = 150.75, date = 2024-07-15"," SELECT Transactions.transaction_id, AccountHolders.name, Transactions.amount, Transactions.date FROM Transactions INNER JOIN AccountHolders ON Transactions.account_holder_id = AccountHolders.id;"
4. Retail Billing: Combine Bills and Products tables to display each billed product name and its price. What happens if a bill references a product that no longer exists?,"bill_id = 3001, product_name = Widget, price = 19.99, quantity = 2"," SELECT Bills.bill_id, Products.product_name, Products.price, Bills.quantity FROM Bills INNER JOIN Products ON Bills.product_id = Products.id;"
"5. Big Data Filtering: In a data warehouse, join Clicks and Users tables to analyze clicks by user demographics. What if some clicks are by unregistered users?","click_id = 4001, age = 28, gender = F, timestamp = 2024-08-01 14:32:00"," SELECT Clicks.click_id, Users.age, Users.gender, Clicks.timestamp FROM Clicks INNER JOIN Users ON Clicks.user_id = Users.id;"
6. Manufacturing Industry: Retrieve machine maintenance records from Maintenance and the machine details from Machines table. What happens if a maintenance record references a machine that's no longer in use?,"record_id = 5001, machine_name = Lathe, date = 2024-07-20, cost = 200.00"," SELECT Maintenance.record_id, Machines.machine_name, Maintenance.date, Maintenance.cost FROM Maintenance INNER JOIN Machines ON Maintenance.machine_id = Machines.id;"
7. Education System: Get a list of students and their enrolled courses from Enrollments and Courses tables. What if a course ID in Enrollments doesn't match any course in Courses?,"student_id = 6001, course_name = Math 101, enrollment_date = 2024-08-01"," SELECT Enrollments.student_id, Courses.course_name, Enrollments.enrollment_date FROM Enrollments INNER JOIN Courses ON Enrollments.course_id = Courses.id;"
8. Hospitality Management: Combine Reservations and Rooms to show each reservation with room details. What if a reservation references a room that has been removed from the system?,"reservation_id = 7001, room_type = Suite, check_in_date = 2024-08-05, check_out_date = 2024-08-12"," SELECT Reservations.reservation_id, Rooms.room_type, Reservations.check_in_date, Reservations.check_out_date FROM Reservations INNER JOIN Rooms ON Reservations.room_id = Rooms.id;"
9. Logistics: Display shipments and their corresponding destination details by joining Shipments and Destinations. What happens if some shipments have invalid or NULL destination IDs?,"shipment_id = 8001, location = San Francisco, weight = 50.0, shipment_date = 2024-07-30"," SELECT Shipments.shipment_id, Destinations.location, Shipments.weight, Shipments.shipment_date FROM Shipments INNER JOIN Destinations ON Shipments.destination_id = Destinations.id;"
10. Tech Support: Retrieve support tickets and their assigned technician's name from Tickets and Technicians. What if some tickets don't have a technician assigned (technician_id is NULL)?,"ticket_id = 9001, technician_name = Jane Doe, issue_description = System crash, created_date = 2024-08-01"," SELECT Tickets.ticket_id, Technicians.technician_name, Tickets.issue_description, Tickets.created_date FROM Tickets INNER JOIN Technicians ON Tickets.technician_id = Technicians.id;"
11. Library System: Join Books and Authors to list book titles along with their authors. What if some books have no assigned author?,"title = ""The Great Gatsby"", name = ""F. Scott Fitzgerald"""," SELECT Books.title, Authors.name FROM Books INNER JOIN Authors ON Books.author_id = Authors.id;"
12. Online Courses: Retrieve student names and their enrolled courses from StudentEnrollments and Courses. What if some students are not enrolled in any courses?,"name = ""Emma Davis"", course_name = ""Introduction to Data Science"""," SELECT Students.name, Courses.course_name FROM StudentEnrollments INNER JOIN Courses ON StudentEnrollments.course_id = Courses.id INNER JOIN Students ON StudentEnrollments.student_id = Students.id;"
13. Sales Orders: Get a list of sales orders and the sales representative handling each order from SalesOrders and SalesReps. What if an order has no assigned sales rep?,"order_id = 1501, rep_name = ""Sarah Lee"""," SELECT SalesOrders.order_id, SalesReps.rep_name FROM SalesOrders INNER JOIN SalesReps ON SalesOrders.rep_id = SalesReps.id;"
14. Product Inventory: Join Inventory and Products to list product names and their current stock levels. What happens if a product in inventory is no longer listed in the Products table?,"product_id = 301, product_name = ""Smartphone"", stock_level = 25"," SELECT Inventory.product_id, Products.product_name, Inventory.stock_level FROM Inventory INNER JOIN Products ON Inventory.product_id = Products.id;"
15. Customer Support: Combine Tickets and SupportAgents to show ticket details with the assigned agent's name. What if some tickets do not have an assigned agent?,"ticket_id = 1010, agent_name = ""Tom Harris"", issue = ""Login issue"""," SELECT Tickets.ticket_id, SupportAgents.agent_name, Tickets.issue FROM Tickets INNER JOIN SupportAgents ON Tickets.agent_id = SupportAgents.id;"
16. Movie Database: Join Movies and Directors to list movie titles and their directors. What if some movies do not have a director assigned?,"title = ""Inception"", director_name = ""Christopher Nolan"""," SELECT Movies.title, Directors.director_name FROM Movies INNER JOIN Directors ON Movies.director_id = Directors.id;"
17. Employee Projects: Get a list of employees and their projects from Employees and Projects. What if some employees are not assigned to any projects?,"name = ""John Smith"", project_name = ""Website Redesign"""," SELECT Employees.name, Projects.project_name FROM EmployeeProjects INNER JOIN Projects ON EmployeeProjects.project_id = Projects.id INNER JOIN Employees ON EmployeeProjects.employee_id = Employees.id;"
18. Event Registrations: Join Registrations and Events to show each registration with event details. What if some registrations reference events that no longer exist?,"registration_id = 5001, event_name = ""Tech Conference"", registration_date = ""2024-08-10"""," SELECT Registrations.registration_id, Events.event_name, Registrations.registration_date FROM Registrations INNER JOIN Events ON Registrations.event_id = Events.id;"
19. Real Estate Listings: Retrieve property details and their respective agents from Properties and Agents. What if some properties are not currently listed with any agents?,"address = ""123 Elm St"", agent_name = ""Laura Chen"""," SELECT Properties.address, Agents.agent_name FROM Properties INNER JOIN Agents ON Properties.agent_id = Agents.id;"
20. Gym Memberships: Combine Memberships and Members to list each membership type with member details. What happens if a membership type does not have a corresponding member?,"membership_id = 7001, member_name = ""Emily Johnson"", type = ""Premium"""," SELECT Memberships.membership_id, Members.member_name, Memberships.type FROM Memberships INNER JOIN Members ON Memberships.member_id = Members.id;"
21. Car Rentals: Join Rentals and Cars to display rental records along with car details. What if a rental record references a car that has been removed?,"`rental_id = 8001, car_model = ""Toyota Camry"," SELECT Rentals.rental_id, Cars.car_model, Rentals.rental_date FROM Rentals INNER JOIN Cars ON Rentals.car_id = Cars.id;"
How do you find the total sales in a financial database?,SUM(sales_amount) = 150000,SELECT SUM(sales_amount) FROM sales;
2. How do you calculate the average salary of employees in a company?,AVG(salary) = 55000,SELECT AVG(salary) FROM employees;
3. How do you count the number of transactions in a financial year?,COUNT(transaction_id) = 12000,SELECT COUNT(transaction_id) FROM transactions WHERE YEAR(transaction_date) = 2023;
4. How do you find the maximum transaction amount in a day?,MAX(amount) = 5000,SELECT MAX(amount) FROM transactions WHERE transaction_date = '2023-08-01';
5. How do you find the minimum balance in accounts?,MIN(balance) = 50,SELECT MIN(balance) FROM accounts;
6. How do you find customers who made no transactions in a month?,customer_id = 102,SELECT customer_id FROM customers WHERE customer_id NOT IN (SELECT DISTINCT customer_id FROM transactions WHERE MONTH(transaction_date) = 8);
7. How do you retrieve customers and their total transaction amounts?,"customer_id = 201, SUM(amount) = 10000","SELECT customer_id, SUM(amount) FROM transactions GROUP BY customer_id;"
8. How do you find the top 5 highest earning products?,"product_id = 301, total_sales = 200000","SELECT product_id, SUM(sales) as total_sales FROM sales GROUP BY product_id ORDER BY total_sales DESC LIMIT 5;"
9. How do you get the top 10 customers by transaction count?,"customer_id = 202, transaction_count = 25","SELECT customer_id, COUNT(transaction_id) as transaction_count FROM transactions GROUP BY customer_id ORDER BY transaction_count DESC LIMIT 10;"
10. How do you join customers and orders tables to get customer order details?,"name = John Doe, order_id = 1001","SELECT customers.name, orders.order_id FROM customers INNER JOIN orders ON customers.customer_id = orders.customer_id;"
11. How do you find customers who placed orders in both 2022 and 2023?,customer_id = 303,SELECT DISTINCT customer_id FROM orders WHERE YEAR(order_date) = 2022 INTERSECT SELECT DISTINCT customer_id FROM orders WHERE YEAR(order_date) = 2023;
12. How do you find the number of employees in each department?,"department_id = 401, COUNT(employee_id) = 50","SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id;"
13. How do you retrieve employee names with salaries above average?,name = Jane Smith,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);
14. How do you calculate the total salary expenses for each department?,"department_id = 402, SUM(salary) = 2500000","SELECT department_id, SUM(salary) FROM employees GROUP BY department_id;"
15. How do you find the second highest salary in the company?,MAX(salary) = 120000,SELECT MAX(salary) FROM employees WHERE salary < (SELECT MAX(salary) FROM employees);
16. How do you retrieve all orders made in the last 7 days?,"order_id = 1050, order_date = '2023-08-01'",SELECT * FROM orders WHERE order_date >= CURDATE() - INTERVAL 7 DAY;
17. How do you identify duplicate records in a table?,"column1 = A, column2 = B, COUNT(*) = 2","SELECT column1, column2, COUNT(*) FROM table_name GROUP BY column1, column2 HAVING COUNT(*) > 1;"
18. How do you calculate the monthly revenue for the year 2023?,"month = 7, monthly_revenue = 300000","SELECT MONTH(transaction_date) as month, SUM(amount) as monthly_revenue FROM transactions WHERE YEAR(transaction_date) = 2023 GROUP BY month;"
19. How do you find the number of active customers in the last 30 days?,COUNT(DISTINCT customer_id) = 500,SELECT COUNT(DISTINCT customer_id) FROM transactions WHERE transaction_date >= CURDATE() - INTERVAL 30 DAY;
20. How do you find the transaction count per customer in a specific region?,"customer_id = 501, COUNT(transaction_id) = 15","SELECT customer_id, COUNT(transaction_id) FROM transactions WHERE region = 'North' GROUP BY customer_id;"
21. How do you update the status of all transactions above $1000 to 'High'?,Rows updated,UPDATE transactions SET status = 'High' WHERE amount > 1000;
22. How do you find the percentage of transactions above $500?,percentage_above_500 = 40.0,SELECT (COUNT(*) FILTER (WHERE amount > 500) / COUNT(*)) * 100 as percentage_above_500 FROM transactions;
